id,name,latitude,longitude,website
121,Bluestone Lane Coffee,38.8981086,-77.0298829,https://bluestonelane.com/?y_source=1_MTUwNjM5NjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
122,Coffee Republic,38.8979714,-77.0293891,https://coffeerepub.com/contact-us/
123,Puro Gusto,38.8975474,-77.0314257,https://purogustocafe.com/
124,Bread Me Café,38.9048763,-77.0257341,https://order.online/store/bread-me-cafe-washington-dc-washington-30688669/?hideModal=true
125,Fossette Focacceria,38.9068413,-77.0241748,https://fossettedc.com/
126,Pearl's Bagels,38.9035739,-77.02173,https://www.pearlsbagels.com/
127,Dolcezza,38.9002427,-77.0241823,https://dolcezzagelato.com/
128,Brij,38.9050754,-77.0238135,https://www.brijcoffee.com/
129,Baked Joint,38.902267,-77.0172017,https://abakedjoint.com/
130,Sharetea,38.899939,-77.0196194,https://www.shareteadcchinatown.com/
131,Gregorys Coffee,38.8768949,-77.0046575,https://gregoryscoffee.com/
132,Lot 38 Espresso Bar,38.87768,-77.003671,https://www.facebook.com/pages/Lot-38-Espresso-Bar/236209893248851?_rdr
133,Bethesda Bagels,38.8767448,-77.0048084,https://www.bethesdabagels.com/
134,For Five Coffee Roasters,38.8766712,-77.0062089,https://www.forfivecoffee.com/
135,Maman,38.8744542,-77.0045592,https://mamannyc.com/locations/navy-yard
136,Plantish,38.8762803,-77.0083745,https://www.plantish.co/
137,Qualia Coffee,38.9107601,-77.0046092,https://qualiacoffeeroasters.com/
138,Mamam,38.9093022,-76.9992331,https://mamannyc.com/locations/navy-yard
139,Iza's Deli & Bagelry,39.0480264,-77.1141346,https://www.izesdeli.com/
140,Sunday Morning Bake House,39.0505076,-77.1171876,https://www.sundaymorningbakehouse.com/
141,Black Acres Roastery,39.3061727,-76.6087576,https://www.blackacrescoffee.com/
142,Station North Arts Cafe,39.3107265,-76.6185137,https://onthegrid.city/baltimore/station-north/station-north-arts-cafe
